Group Name,Site Name,DC Voltage,Battery Bank Current,Temperature,Power Source,Power State,Solar Source Voltage,Solar Source Current,AC Phase A Voltage,AC Phase B Voltage,AC Phase C Voltage,AC Phase A Current,AC Phase B Current,AC Phase C Current,Total Current,Power,Battery Charged Power,Date Time
FLM-North-2,IBJ001,56.4,41.2,35,Mains,56.2,0.0,0.0,225,230,231,10,10,5,25,5705.0,2323.68,2022-03-01 00:02:59.003602
FLM-North-2,IBJ001,56.4,39.3,35,Mains,56.2,0.0,0.0,227,230,231,10,9,5,24,5495.0,2216.52,2022-03-01 00:03:00.003602
FLM-North-2,IBJ001,56.4,38.1,35,Mains,56.2,0.0,0.0,226,229,231,10,9,5,24,5476.0,2148.84,2022-03-01 00:03:01.003602
FLM-North-2,IBJ001,56.4,38.0,35,Mains,56.2,0.0,0.0,225,230,231,9,9,5,23,5250.0,2143.2,2022-03-01 00:03:02.003602
FLM-North-2,IBJ001,56.4,36.6,35,Mains,56.2,0.0,0.0,225,231,231,10,9,5,24,5484.0,2064.24,2022-03-01 00:03:03.003602
FLM-North-2,IBJ001,56.4,35.4,35,Mains,56.2,0.0,0.0,226,230,230,9,9,5,23,5254.0,1996.56,2022-03-01 00:03:04.003602
FLM-North-2,IBJ001,56.4,34.9,35,Mains,56.2,0.0,0.0,226,230,231,9,9,5,23,5259.0,1968.36,2022-03-01 00:03:05.003602
FLM-North-2,IBJ001,56.4,34.0,35,Mains,56.2,0.0,0.0,226,230,231,9,9,5,23,5259.0,1917.6,2022-03-01 00:03:06.003602
FLM-North-2,IBJ001,56.4,33.0,35,Mains,56.3,0.0,0.0,226,230,230,9,9,5,23,5254.0,1861.2,2022-03-01 00:03:07.003602
FLM-North-2,IBJ001,56.4,32.6,35,Mains,56.3,0.0,0.0,227,231,231,9,9,5,23,5277.0,1838.64,2022-03-01 00:03:08.003602
FLM-North-2,IBJ001,56.4,31.6,34,Mains,56.3,0.0,0.0,227,231,232,9,8,4,21,4819.0,1782.24,2022-03-01 00:03:09.003602
FLM-North-2,IBJ001,56.4,31.5,34,Mains,56.3,0.0,0.0,226,231,232,8,8,4,20,4584.0,1776.6,2022-03-01 00:03:10.003602
FLM-North-2,IBJ001,56.4,30.7,34,Mains,56.3,0.0,0.0,227,231,233,8,8,4,20,4596.0,1731.48,2022-03-01 00:03:11.003602
FLM-North-2,IBJ001,56.4,30.2,34,Mains,56.3,0.0,0.0,226,230,233,8,8,4,20,4580.0,1703.28,2022-03-01 00:03:12.003602
FLM-North-2,IBJ001,56.4,29.9,34,Mains,56.3,0.0,0.0,227,231,233,8,8,4,20,4596.0,1686.36,2022-03-01 00:03:13.003602
FLM-North-2,IBJ001,56.4,29.3,34,Mains,56.3,0.0,0.0,227,229,232,8,8,4,20,4576.0,1652.52,2022-03-01 00:03:14.003602
FLM-North-2,IBJ001,53.0,-56.7,34,Batt.,53.0,0.0,0.0,219,219,219,0,0,0,0,3005.1,3005.1,2022-03-01 00:03:15.003602
FLM-North-2,IBJ001,53.0,-56.7,34,Batt.,53.0,0.0,0.0,219,219,219,0,0,0,0,3005.1,3005.1,2022-03-01 00:03:16.003602
FLM-North-2,IBJ001,56.5,28.7,34,Mains,56.4,0.0,0.0,228,231,233,8,8,4,20,4604.0,1621.55,2022-03-01 00:03:17.003602
FLM-North-2,IBJ001,56.5,28.2,34,Mains,56.4,0.0,0.0,227,232,232,8,8,4,20,4600.0,1593.3,2022-03-01 00:03:18.003602
FLM-North-2,IBJ001,56.5,28.1,34,Mains,56.4,0.0,0.0,226,230,232,8,8,4,20,4576.0,1587.65,2022-03-01 00:03:19.003602
FLM-North-2,IBJ001,56.5,27.6,34,Mains,56.4,0.0,0.0,226,230,232,7,7,4,18,4120.0,1559.4,2022-03-01 00:03:20.003602
FLM-North-2,IBJ001,56.5,27.3,34,Mains,56.4,0.0,0.0,228,230,232,8,7,4,19,4362.0,1542.45,2022-03-01 00:03:21.003602
FLM-North-2,IBJ001,56.5,27.1,34,Mains,56.4,0.0,0.0,227,230,232,7,7,4,18,4127.0,1531.15,2022-03-01 00:03:22.003602
FLM-North-2,IBJ001,50.7,-54.7,34,Batt.,50.7,0.0,0.0,0,0,0,0,0,0,0,2773.29,2773.29,2022-03-01 00:03:23.003602
FLM-North-2,IBJ001,50.5,-54.6,34,Batt.,50.5,0.0,0.0,0,0,0,0,0,0,0,2757.3,2757.3,2022-03-01 00:03:24.003602
FLM-North-2,IBJ001,50.4,-55.2,33,Batt.,50.4,0.0,0.0,0,0,0,0,0,0,0,2782.08,2782.08,2022-03-01 00:03:25.003602
FLM-North-2,IBJ001,50.5,-54.4,33,Batt.,50.5,0.0,0.0,0,0,0,0,0,0,0,2747.2,2747.2,2022-03-01 00:03:26.003602
FLM-North-2,IBJ001,50.5,-52.8,33,Batt.,50.5,0.0,0.0,0,0,0,0,0,0,0,2666.4,2666.4,2022-03-01 00:03:27.003602
FLM-North-2,IBJ001,50.4,-53.9,33,Batt.,50.3,0.0,0.0,0,0,0,0,0,0,0,2716.56,2716.56,2022-03-01 00:03:28.003602
FLM-North-2,IBJ001,50.3,-54.6,33,Batt.,50.3,0.0,0.0,0,0,0,0,0,0,0,2746.38,2746.38,2022-03-01 00:03:29.003602
FLM-North-2,IBJ001,50.3,-54.8,33,Batt.,50.3,0.0,0.0,0,0,0,0,0,0,0,2756.44,2756.44,2022-03-01 00:03:30.003602
FLM-North-2,IBJ001,50.2,-59.1,32,Batt.,50.2,0.0,0.0,0,0,0,0,0,0,0,2966.82,2966.82,2022-03-01 00:03:31.003602
FLM-North-2,IBJ001,50.2,-55.7,32,Batt.,50.2,0.0,0.0,0,0,0,0,0,0,0,2796.14,2796.14,2022-03-01 00:03:32.003602
FLM-North-2,IBJ001,50.2,-53.3,32,Batt.,50.2,0.0,0.0,0,0,0,0,0,0,0,2675.66,2675.66,2022-03-01 00:03:33.003602
FLM-North-2,IBJ001,50.2,-54.5,32,Batt.,50.1,0.0,0.0,0,0,0,0,0,0,0,2735.9,2735.9,2022-03-01 00:03:34.003602
FLM-North-2,IBJ001,50.2,-53.7,32,Batt.,50.1,0.0,0.0,0,0,0,0,0,0,0,2695.74,2695.74,2022-03-01 00:03:35.003602
FLM-North-2,IBJ001,50.1,-54.2,32,Batt.,50.1,0.0,0.0,0,0,0,0,0,0,0,2715.42,2715.42,2022-03-01 00:03:36.003602
FLM-North-2,IBJ001,50.1,-53.4,32,Batt.,50.0,0.0,0.0,0,0,0,0,0,0,0,2675.34,2675.34,2022-03-01 00:03:37.003602
FLM-North-2,IBJ001,50.0,-52.5,31,Batt.,50.0,0.0,0.0,0,0,0,0,0,0,0,2625.0,2625.0,2022-03-01 00:03:38.003602
FLM-North-2,IBJ001,50.0,-52.2,31,Batt.,50.0,0.0,0.0,0,0,0,0,0,0,0,2610.0,2610.0,2022-03-01 00:03:39.003602
FLM-North-2,IBJ001,50.0,-52.2,31,Batt.,49.9,0.0,0.0,0,0,0,0,0,0,0,2610.0,2610.0,2022-03-01 00:03:40.003602
FLM-North-2,IBJ001,49.9,-51.9,31,Batt.,49.9,0.0,0.0,0,0,0,0,0,0,0,2589.81,2589.81,2022-03-01 00:03:41.003602
FLM-North-2,IBJ001,49.9,-51.5,31,Batt.,49.9,0.0,0.0,0,0,0,0,0,0,0,2569.85,2569.85,2022-03-01 00:03:42.003602
FLM-North-2,IBJ001,49.8,-50.4,31,Batt.,49.8,0.0,0.0,0,0,0,0,0,0,0,2509.92,2509.92,2022-03-01 00:03:43.003602
FLM-North-2,IBJ001,49.8,-50.2,31,Batt.,49.8,0.0,0.0,0,0,0,0,0,0,0,2499.96,2499.96,2022-03-01 00:03:44.003602
FLM-North-2,IBJ001,49.8,-49.5,30,Batt.,49.8,0.0,0.0,0,0,0,0,0,0,0,2465.1,2465.1,2022-03-01 00:03:45.003602
FLM-North-2,IBJ001,49.8,-51.2,30,Batt.,49.8,0.0,0.0,0,0,0,0,0,0,0,2549.76,2549.76,2022-03-01 00:03:46.003602
FLM-North-2,IBJ001,49.7,-50.5,30,Batt.,49.7,0.0,0.0,0,0,0,0,0,0,0,2509.85,2509.85,2022-03-01 00:03:47.003602
FLM-North-2,IBJ001,49.7,-50.3,30,Batt.,49.7,0.0,0.0,0,0,0,0,0,0,0,2499.91,2499.91,2022-03-01 00:03:48.003602
FLM-North-2,IBJ001,49.7,-50.9,30,Batt.,49.7,0.0,0.0,0,0,0,0,0,0,0,2529.73,2529.73,2022-03-01 00:03:49.003602
FLM-North-2,IBJ001,56.1,118.5,30,Mains,55.9,0.0,0.0,214,194,212,17,20,9,46,9426.0,6647.85,2022-03-01 00:03:50.003602
FLM-North-2,IBJ001,56.2,116.7,30,Mains,56.0,0.0,0.0,220,188,211,16,20,9,45,9179.0,6558.54,2022-03-01 00:03:51.003602
FLM-North-2,IBJ001,56.5,117.5,30,Mains,56.3,0.0,0.0,221,185,210,16,20,9,45,9126.0,6638.75,2022-03-01 00:03:52.003602
FLM-North-2,IBJ001,56.5,104.8,30,Mains,56.2,0.0,0.0,220,186,209,15,18,8,41,8320.0,5921.2,2022-03-01 00:03:53.003602
FLM-North-2,IBJ001,56.5,97.4,31,Mains,56.3,0.0,0.0,217,186,208,15,17,8,40,8081.0,5503.1,2022-03-01 00:03:54.003602
FLM-North-2,IBJ001,56.5,92.9,31,Mains,56.3,0.0,0.0,216,187,207,14,17,8,39,7859.0,5248.85,2022-03-01 00:03:55.003602
FLM-North-2,IBJ001,56.5,86.5,32,Mains,56.3,0.0,0.0,215,186,205,14,16,8,38,7626.0,4887.25,2022-03-01 00:03:56.003602
FLM-North-2,IBJ001,56.5,81.1,32,Mains,56.3,0.0,0.0,219,193,211,13,15,7,35,7219.0,4582.15,2022-03-01 00:03:57.003602
FLM-North-2,IBJ001,56.5,76.1,32,Mains,56.3,0.0,0.0,220,195,212,12,14,7,33,6854.0,4299.65,2022-03-01 00:03:58.003602
FLM-North-2,IBJ001,56.5,71.7,32,Mains,56.3,0.0,0.0,221,197,213,12,14,7,33,6901.0,4051.05,2022-03-01 00:03:59.003602
FLM-North-2,IBJ001,56.5,70.3,32,Mains,56.3,0.0,0.0,226,202,216,12,13,7,32,6850.0,3971.95,2022-03-01 00:04:00.003602
FLM-North-2,IBJ001,56.5,68.2,32,Mains,56.3,0.0,0.0,224,200,217,12,13,7,32,6807.0,3853.3,2022-03-01 00:04:01.003602
FLM-North-2,IBJ001,56.5,68.2,32,Mains,56.3,0.0,0.0,224,200,217,12,13,7,32,6807.0,3853.3,2022-03-01 00:04:02.003602
FLM-North-2,IBJ001,56.5,68.2,32,Mains,56.3,0.0,0.0,224,200,217,12,13,7,32,6807.0,3853.3,2022-03-01 00:04:03.003602
FLM-North-2,IBJ001,50.6,-55.7,32,Batt.,50.6,0.0,0.0,0,0,0,0,0,0,0,2818.42,2818.42,2022-03-01 00:04:04.003602
FLM-North-2,IBJ001,50.5,-56.1,32,Batt.,50.5,0.0,0.0,0,0,0,0,0,0,0,2833.05,2833.05,2022-03-01 00:04:05.003602
FLM-North-2,IBJ001,50.3,-55.5,31,Batt.,50.3,0.0,0.0,0,0,0,0,0,0,0,2791.65,2791.65,2022-03-01 00:04:06.003602
FLM-North-2,IBJ001,50.1,-60.0,31,Batt.,50.1,0.0,0.0,0,0,0,0,0,0,0,3006.0,3006.0,2022-03-01 00:04:07.003602
FLM-North-2,IBJ001,50.0,-62.7,31,Batt.,50.0,0.0,0.0,0,0,0,0,0,0,0,3135.0,3135.0,2022-03-01 00:04:08.003602
FLM-North-2,IBJ001,50.0,-61.1,31,Batt.,49.9,0.0,0.0,0,0,0,0,0,0,0,3055.0,3055.0,2022-03-01 00:04:09.003602
FLM-North-2,IBJ001,49.8,-61.5,31,Batt.,49.8,0.0,0.0,0,0,0,0,0,0,0,3062.7,3062.7,2022-03-01 00:04:10.003602
FLM-North-2,IBJ001,49.7,-64.3,30,Batt.,49.7,0.0,0.0,0,0,0,0,0,0,0,3195.71,3195.71,2022-03-01 00:04:11.003602
FLM-North-2,IBJ001,49.8,-60.2,30,Batt.,49.8,0.0,0.0,215,220,216,0,0,0,0,2997.96,2997.96,2022-03-01 00:04:12.003602
FLM-North-2,IBJ001,56.4,103.9,30,Mains,56.2,0.0,0.0,217,178,204,16,21,9,46,9046.0,5859.96,2022-03-01 00:04:13.003602
FLM-North-2,IBJ001,56.4,92.1,31,Mains,56.3,0.0,0.0,214,176,201,15,19,8,42,8162.0,5194.44,2022-03-01 00:04:14.003602
FLM-North-2,IBJ001,56.4,85.6,31,Mains,56.3,0.0,0.0,212,174,200,15,19,8,42,8086.0,4827.84,2022-03-01 00:04:15.003602
FLM-North-2,IBJ001,56.4,77.6,32,Mains,56.3,0.0,0.0,214,176,200,14,18,8,40,7764.0,4376.64,2022-03-01 00:04:16.003602
FLM-North-2,IBJ001,56.4,72.8,32,Mains,56.3,0.0,0.0,211,178,200,14,16,7,37,7202.0,4105.92,2022-03-01 00:04:17.003602
FLM-North-2,IBJ001,56.4,67.6,33,Mains,56.3,0.0,0.0,211,179,200,13,16,7,36,7007.0,3812.64,2022-03-01 00:04:18.003602
FLM-North-2,IBJ001,56.4,64.8,33,Mains,56.3,0.0,0.0,208,181,200,13,15,7,35,6819.0,3654.72,2022-03-01 00:04:19.003602
FLM-North-2,IBJ001,56.4,61.3,33,Mains,56.3,0.0,0.0,217,191,208,12,14,7,33,6734.0,3457.32,2022-03-01 00:04:20.003602
FLM-North-2,IBJ001,56.4,58.2,33,Mains,56.3,0.0,0.0,217,192,208,12,13,6,31,6348.0,3282.48,2022-03-01 00:04:21.003602
FLM-North-2,IBJ001,56.4,56.0,34,Mains,56.3,0.0,0.0,217,193,208,12,13,6,31,6361.0,3158.4,2022-03-01 00:04:22.003602
FLM-North-2,IBJ001,56.4,53.9,34,Mains,56.3,0.0,0.0,218,195,210,11,13,6,30,6193.0,3039.96,2022-03-01 00:04:23.003602
FLM-North-2,IBJ001,56.4,50.8,34,Mains,56.3,0.0,0.0,218,194,208,11,13,6,30,6168.0,2865.12,2022-03-01 00:04:24.003602
FLM-North-2,IBJ001,56.4,49.3,34,Mains,56.3,0.0,0.0,216,192,206,11,13,6,30,6108.0,2780.52,2022-03-01 00:04:25.003602
FLM-North-2,IBJ001,51.9,-71.2,34,Batt.,51.9,0.0,0.0,0,0,0,0,0,0,0,3695.28,3695.28,2022-03-01 00:04:26.003602
